"Battletags","Level","K/D","KDA","Win Pct","Kills/Game","Elim/Game","Damage/Game","Healing/Game","Elim/Min","Healing/Min","Damage/Min","Solo Kills","Obj kills","Final Blows","Damage Done","Elims","Environment Kills","MultiKills","Deaths","Games","GameTimeMin","Rating"
"Strikes-21579",512,2.55,5.4,48.6,21.51,21.51,4955.5,11304.7,1.75,15.34,403.35,74,2526,1012,1040655,4518,3,66,1770,210,2580.02975083674,2804
"Fungus-1532",1093,2.31,2.47,49.3,24.56,24.56,8737.25,1108.55,1.98,1.49,705.94,600,2232,3015,1948407,5476,2,105,2370,223.000028613122,2760.01784854237,4048
"Dr4ze-2423",145,3.88,9.4,66.7,25.19,25.19,6517.77,8867.35,2.02,11.82,521.42,82,484,493,312853,1209,15,13,312,48.0000061370683,600.001917839745,2934
"Madkelevra-11409",41,2.51,4.46,40.6,18.11,18.11,5983.62,4451.86,1.76,7.19,580.23,39,511,354,382952,1159,15,14,462,64.0000534793319,660.000344690898,2474
"NaGaTo4-2854",363,2.75,5.32,43.9,19.19,19.19,7597,4906.89,1.66,7.07,657.2,117,732,811,744506,1881,6,30,684,98,1132.84540474741,2323
"Ainz-1216",467,2.54,3.27,52.1,22.45,22.45,7198.07,1465.7,1.88,2.05,603.63,175,973,1153,870967,2716,9,33,1068,121.000073630848,1442.88222918013,2939
"Kai-14592",244,4.02,5.7,81,22,22,5935.14,3180.62,1.93,4.64,519.33,33,266,183,124638,462,0,10,115,21.0000101092813,239.997689330483,2222
"MiniNinja-1119858",217,2,4.63,42.2,18.42,18.42,5319.95,7506.78,1.45,9.88,420.05,62,1239,677,680954,2358,7,21,1180,128.000075188677,1621.12605642185,2141
"Ancientcy-1506",192,2.29,3.22,40,22.04,22.04,8193.92,2253.16,1.83,3.12,681.31,57,290,237,204848,551,12,11,241,25,300.667831090106,2232
"Choax-1378",297,3.1,4.39,47.2,22.11,22.11,6715.64,2445.14,2.21,4.08,671.56,20,364,228,241763,796,5,13,257,35.9999940437546,360.002084698314,2460
"SrK-21521",281,3.38,4.44,73.9,23.35,23.35,6127.61,1784.22,2.24,2.85,587.23,13,245,152,140935,537,4,2,159,22.9999951041271,239.999659417945,2028
"Shamuka-11911",545,4.74,5.41,46.7,22.3,22.3,5251.7,687.67,2.23,1.15,525.17,39,326,221,157551,669,2,6,141,30,300,758
"Arkner-1678",302,3.12,5.48,39.1,22.89,22.89,6476.34,9012.39,2.03,13.35,575.68,58,691,440,414486,1465,9,18,469,64.0000370579679,719.993746525848,2375
"BenBaghira-2823",835,2.75,4.43,50.3,23.04,23.04,7391.9,4700.33,1.89,6.42,606.15,467,3855,2686,2483680,7742,81,89,2818,336.000216453145,4097.46762352553,2452
"Bang-11887",301,2.64,3.78,51,23.84,23.84,8017.18,2593.13,1.93,3.5,649.74,286,1837,1822,1587402,4720,17,66,1789,198.00004490357,2443.13417674762,2993
"JohnSmith-12314",368,2.1,2.65,48.6,15.94,15.94,6539.46,67.17,1.37,0.1,562.91,17,353,259,228881,558,25,12,266,34.9999847082175,406.603187010357,2173
"Shamoooo-1982",618,2.84,3.25,49.3,23.81,23.81,9360.29,1556.06,1.92,2.09,755.3,124,712,806,645860,1643,2,27,578,68.999998931657,855.103932212366,2473
"jjonak-1556",117,3.1,3.48,61.9,29.98,29.98,9998.1,804.57,2.57,1.15,858.59,191,390,771,419920,1259,15,16,406,41.9999799961993,489.080935021372,2840
"MEI-12139",193,3.09,3.25,56.7,21.19,21.19,8042.57,2084.84,1.91,3.13,724.46,213,600,855,538852,1420,3,14,459,66.9999763757108,743.798139303757,2127
"CROW-31114",206,3.22,3.49,63.3,25.2,25.2,8007.77,726.27,2.52,1.21,800.78,120,216,442,240233,756,4,8,235,29.9999875121288,299.998751217563,1951
"pu2e-1208",278,2.18,3.74,54.2,16.83,16.83,6239.75,3908.29,1.68,6.51,623.98,30,181,170,149754,404,17,58,185,24,239.998076861438,2728
"NiceMeme-11581",340,2.92,4.58,50.6,23,23,7924.57,1858.36,1.89,2.54,650.7,301,3563,2812,2805298,8141,55,191,2784,354.000027761759,4311.20024588904,3333
"Gropi-21644",239,2.92,4.42,60,23.35,23.35,7245.5,3545.98,1.89,4.79,587.35,36,502,307,289820,934,10,10,320,40,493.436622116285,2117
"NaughtyNurse-21756",72,2.51,4.66,42.3,20.69,20.69,6631.38,5160.92,1.63,6.79,523.53,20,201,188,172416,538,6,7,214,26.000018095781,329.333562546559,3539
"wagesj45-1934",1246,1.87,3.62,48,18.35,18.35,5320.35,6523.84,1.52,9.01,440.75,137,2683,1208,1298166,4477,56,42,2391,244.000112774535,2945.35677821894,2104
"JAlex-2292",760,3.37,6.28,53.3,22.42,22.42,6161.84,4723.18,2.1,7.38,577.67,26,468,332,277283,1009,2,34,299,45.0000324578373,480.002423529004,3134
"XPachimariX-4614",247,3.87,4.31,65,27.28,27.28,8622.52,1022.38,2.64,1.65,833.3,194,367,677,344901,1091,3,13,282,40.0000231950752,413.897755910236,2172
"Helyana-2308",425,2.61,4.51,53.7,21.01,21.01,5847.94,6748.69,1.79,9.61,499.68,121,1548,894,783624,2815,18,38,1080,134.000006840015,1568.25168107589,2589
"SnK-21870",416,2.29,5.84,52.1,19,19,5539.63,7252.79,1.6,10.18,466.48,61,734,443,393314,1349,7,11,588,71.0000487397173,843.152975475905,2816
"sakuya-11239",977,1.84,4.42,42.9,15.44,15.44,4098.98,8596.32,1.27,11.8,337.56,25,621,308,344314,1297,2,16,706,83.9999219317977,1020.00829482166,3079
"Pangod-11309",67,2.43,5.42,63,18.98,18.98,5626.37,4511.02,2.08,8.23,616.22,84,331,428,258813,873,2,13,359,45.9999964453102,420.000973678232,1472
"Aggrohann-2982",319,2.75,2.98,61.9,24.48,24.48,9790.57,627.38,2.14,0.91,856.68,17,243,248,205602,514,23,14,187,21.000003064173,239.998599243592,2938
"Rombozz-21133",201,2.59,3.66,51.8,20.6,20.6,6854.72,2178.69,1.79,3.15,594.59,151,915,985,767729,2307,8,20,892,112.000052518557,1291.19056829075,2550
"SnappleApple-1270",245,3.3,4.46,46.2,21.08,21.08,6404.46,3547.15,1.87,5.26,569.29,13,151,98,83258,274,2,3,83,13.0000031228238,146.24883626974,2183
"elNachoGato-1838",297,2.48,2.73,41.2,22.29,22.29,7672.41,1701.41,1.93,2.45,662.7,34,184,168,130431,379,2,9,153,17.0000039101143,196.817564508828,1737
"OOOOOOOOO-21512",228,2.8,3.48,65.9,25.95,25.95,10737.56,1557.51,2.22,2.22,917.17,85,425,508,440240,1064,5,20,380,41.0000037252411,479.998255503342,3000
"DJoy-11673",1226,2.83,3.47,49,25.22,25.22,9207.84,858.41,2.14,1.22,782.67,75,465,523,469600,1286,7,15,455,51.0000173764966,599.997444644614,3969
"Ace-14474",1340,2.53,3.06,47.7,22.36,22.36,8896.7,1532.48,1.92,2.19,762.57,1424,3910,5676,4163654,10464,67,87,4141,467.999820158036,5460.0285875395,2534
"WumboForDays-1133",165,1.56,2.32,45.3,17.85,17.85,0,6242.07,1.41,8.24,0,113,937,660,0,1696,83,11,1087,NA,NA,1754
"Rabyyt-1688",135,2.32,3,50.9,21.76,21.76,7678.17,869.09,1.85,1.23,651.84,163,1647,1534,1251541,3547,25,47,1529,162.999907530049,1920.01257977418,2460
"GoldenFang-21201",516,2.42,3.39,43.5,20.33,20.33,6740.63,1503.7,1.84,2.27,610.75,34,374,363,310069,935,3,12,386,46.0000029670817,507.685632419157,3159
"baboelponcho-2639",358,2.05,2.61,49.6,20.94,20.94,8222.26,813.18,1.7,1.1,666.73,121,913,1147,929115,2366,9,41,1156,112.999953783996,1393.5401136892,2965
"magicknifes-1306",498,2.23,2.75,40,22.37,22.37,8755.91,2254.89,2.18,3.65,851.27,63,336,359,306457,783,2,12,351,35.0000171312862,359.999765056915,2542
"Jokey-2146",90,2.4,2.7,63.2,21.89,21.89,8504.58,837.37,2.31,1.47,897.71,17,221,209,161587,416,0,7,173,18.999997648326,179.999108843613,2125
"Simops33-1808",685,2.54,3.9,53,22.81,22.81,7277.28,2768.82,1.86,3.77,594.48,283,3482,3440,2881803,9032,29,146,3557,396.000016489677,4847.60294711344,3958
"tuneGT-1940",328,2.09,3.47,53.9,17.18,17.18,6454.95,2494.44,1.4,3.38,524.46,17,336,314,251743,670,4,7,320,38.9999922540066,480.004194790832,2189
"Flexx-2681",336,3.36,5.53,58.8,21.76,21.76,6653.24,6115.47,2.02,9.44,616.15,24,170,132,113105,370,10,3,110,16.9999879757832,183.567313154264,2053
"SoloQueuer69-1828",1410,1.86,5.17,48,15.92,15.92,5525.04,7463.7,1.37,10.73,476.69,37,306,226,276252,796,3,5,428,50,579.521282174998,3155
"rjpanzjr-1362",77,2.2,2.48,47.9,19.62,19.62,7729.92,805.04,1.96,1.34,772.99,108,428,505,371036,942,4,13,428,47.9999793012088,480.001034942237,1906
"kuskovich-21451",730,2.64,3.77,41.5,19.13,19.13,6709.15,2120.79,1.68,3.1,588.91,198,1126,1050,872189,2487,27,17,941,129.999925474911,1481.02256711552,2082
"Nervillo-2962",62,3.17,4.07,52.4,19.19,19.19,6883.86,3580.83,1.79,5.56,641.45,55,391,358,289122,806,9,3,254,41.9999825679197,450.731935458726,2038
"Linguine-21358",332,2.49,3.24,37.5,19.12,19.12,7388.88,838.81,1.96,1.43,757.02,26,110,136,118222,306,6,16,123,15.9999891729193,156.167604554701,2395
"Sigh-11643",79,1.95,6.77,43,11.19,11.19,3080.05,6775.56,0.99,9.95,271.52,37,444,268,243324,884,7,3,453,79.0000162335027,896.154979375368,1491
"IchBinJustin-2286",159,2.57,3.53,49.6,22.72,22.72,7490.68,1608.95,1.88,2.22,619.34,251,1255,1411,1011242,3067,17,30,1194,135.000026699846,1632.77359770078,2643
"Lucio-13965",250,2.39,3.52,35.6,20.34,20.34,7612.63,2965.9,1.82,4.42,680.52,73,458,518,449145,1200,8,27,502,58.9999776686901,660.002645036149,2584
"Khandiz-2928",53,0.92,3.46,35.3,8.04,8.04,1560.02,10193,0.68,14.44,132.6,4,206,69,79561,410,0,9,446,50.9999871796515,600.00754147813,1918
"Agane-11976",50,2.06,3.13,63.6,20,20,6179,2270.27,1.77,3.36,548.28,8,78,75,67969,220,3,4,107,11,123.967680747064,3313
"Altxymon-2548",482,2.4,3.9,46.8,22.25,22.25,6896.72,4388.11,1.78,5.86,552.69,139,682,742,544841,1758,21,21,734,79.0000173995754,985.798548915305,2441
"thespirit-21652",139,1.73,3,40,18.3,18.3,5796.6,4570.35,1.74,7.25,552.06,40,404,268,231864,732,6,2,423,40,419.997826323226,1465
"miles103-2598",514,2.26,3.57,46.5,19.04,19.04,6119.31,4021.42,1.58,5.57,509,337,3146,2292,2184594,6796,44,74,3010,357.000053927649,4291.93320235756,2357
"Cyphus-11976",344,2.81,4.96,54.6,20.95,20.95,6775.68,7213.45,1.72,9.84,554.83,22,221,137,149065,461,13,6,164,22.0000059034665,268.667880251609,2835
"Trelae-2391",832,2.4,5.62,50,20.96,20.96,5684.08,7491.79,1.71,10.19,463.73,101,755,630,545672,2012,44,19,837,96.0000562975891,1176.70196019235,4085
"kawfee-11251",1167,4.92,7.71,80,28.15,28.15,8392.17,3346.95,2.54,5.04,757.63,177,654,927,545491,1830,15,24,372,64.9999940420654,719.996568245714,2884
"Oreck-1807",890,2.6,2.85,46.3,22.03,22.03,6726.57,3.3,1.99,0,608.84,73,548,535,450680,1476,4,20,568,66.9999717538062,740.227317521845,3576
"DarkHX89-2341",224,2.18,3.28,39.5,14.87,14.87,4744.82,3344.53,1.35,5.04,429.29,26,249,195,180303,565,15,5,259,37.9999662790159,420.002795313192,1924
"Arcanist-11283",184,0.39,5.44,80,2.53,2.53,485.73,11204.33,0.32,23.34,60.72,7,30,6,7286,38,0,2,98,15.0001029378461,119.993412384717,1893
"GodWaifu-2447",560,1.45,4.14,40,12.2,12.2,3115.9,9926.3,1.03,13.94,262.54,7,71,40,31159,122,3,2,84,10,118.682867372591,2409
"OniBy-21369",376,2.89,3.63,54.3,25.17,25.17,9813.47,1503.95,2.04,2.03,794.82,332,1006,1451,1138363,2920,8,33,1009,116.000048912362,1432.22742256108,4362
"SneakyTurtle-239959",527,1.71,3.19,43.8,15.94,15.94,5174.53,4744.33,1.31,6.49,424.58,38,437,418,331170,1020,0,18,598,64.0000154603413,779.994347355033,2193
"TSI-21247",451,2.93,3.25,52.6,29.34,29.34,9907.71,382.92,2.32,0.5,782.81,105,380,573,376493,1115,0,20,381,38.0000020186299,480.950677686795,2328
"RAINBOW-12670",203,2.4,3.05,43.1,20.54,20.54,7773.95,913.87,1.84,1.36,695.88,381,1580,2015,1585885,4190,10,37,1747,203.999897092212,2278.9633270104,1889
"Johan2005-21628",210,2.52,4.7,54,20.37,20.37,6278.23,5372.54,1.77,7.78,545.21,260,1959,1547,1243090,4034,42,59,1603,198.000073269058,2280.02054254324,2671
"Thijs0211-2661",595,1.67,3.8,46.7,14.67,14.67,4084.73,5827.07,1.21,8.02,337.27,11,176,123,122542,440,9,3,264,30.0000244814223,363.335013490675,3000
"morneautron-1881",381,2.63,3.54,75,21.6,21.6,7968.35,1091.2,1.75,1.48,646.56,8,222,170,159367,432,0,10,164,20,246.484471665429,2258
"Chappy-1901",263,2.13,3.15,33.3,23,23,8053.18,2329.88,1.85,3.12,646.47,89,286,372,265755,759,0,7,357,33.000007450473,411.08636131607,2867
"Lux-22194",13,2.32,2.76,40.6,18.33,18.33,6683.8,1567.78,1.63,2.32,594.12,137,479,593,427763,1173,7,12,506,63.9999700769024,719.994277250387,1958
"Bread-11355",380,1.54,3.3,46.7,14.42,14.42,4195.44,8098.8,1.19,11.17,347.17,32,817,329,377590,1298,33,13,843,90.000095341609,1087.62277846588,1704
"LazyTitan-116928",126,2.4,2.54,42.1,23,23,0,1332.65,1.99,1.92,0,191,501,667,0,1311,4,14,547,NA,NA,2137
"Wherner-1403",278,1.22,4.38,43.8,8.94,8.94,2637.97,9415.38,0.79,13.95,234.49,9,136,88,84415,286,0,5,235,31.9999848368253,359.994029596145,2700
"Kelfar-1333",156,1.83,3.55,47.8,15.65,15.65,4918.26,4953.39,1.35,7.14,425.2,128,1602,1208,1141036,3630,17,43,1986,231.999934936339,2683.52775164628,2681
"SteveMp7-1244",816,2.62,5.21,42.9,21.22,21.22,6582.84,6147.69,1.93,9.3,597.33,44,441,332,322559,1040,4,19,397,48.9999756943811,540.001339293188,3392
"Shadow162-2487",559,2.78,3.2,53,26.5,26.5,9355.19,1324.5,2.06,1.72,726.86,746,3030,3958,2965594,8401,13,100,3027,316.999868522179,4080.00715405993,2879
"GapingGoose-2835",1129,2.86,4.5,51.1,23.58,23.58,7605.08,3551.37,1.87,4.7,603.5,153,2104,1886,1680722,5211,28,82,1823,220.999910586082,2784.95774647887,4071
"naGGa-21240",1337,3.16,4.22,54.2,28.16,28.16,10980.3,2138.14,2.18,2.76,850.64,680,2195,3751,2734094,7011,30,109,2218,248.999936249465,3214.16110222891,4359
"Balmy-11839",785,1.62,2.01,35.7,16.46,16.46,6783.89,889.11,1.44,1.3,593.93,11,215,180,189949,461,4,8,284,28.000011792644,319.817150169212,2311
"Madjere-2838",506,3.89,6.7,75,22.38,22.38,4535.81,8886.06,2.98,19.75,604.78,12,174,92,72573,358,0,0,92,16.0000088187115,119.999007903701,2571
"SkiNNyBane-1175",1354,1.52,1.63,37.1,21.34,21.34,9587.06,193.14,1.78,0.27,798.92,85,263,396,335547,747,2,5,491,34.9999895692736,420.000751013869,3190
"DrLonely-2467",562,1.99,2.47,45,21.75,21.75,8705.64,1214.93,1.78,1.65,710.59,478,1596,1989,1662778,4155,15,43,2084,191.000087299728,2339.99634106869,2155
"harolduh-1536",226,2.34,3.82,58.1,20.39,20.39,6911.97,4811.81,1.76,6.91,595.2,40,335,276,214271,632,11,5,270,30.9999898726412,359.998319892473,1979
"Abragabranth-2633",968,2.32,3.14,51.2,21.09,21.09,7574.49,903.01,1.7,1.22,611.87,25,894,625,651406,1814,13,24,781,85.9999815169074,1064.61503260497,4150
"JayHairston-1513",281,2.18,2.54,49.7,21.64,21.64,7845.47,4098.58,1.83,5.78,663.78,177,1763,1428,1263120,3484,6,40,1598,160.9999146004,1902.91964205008,2661
"Baaron-11662",122,2.96,3.12,50,23.75,23.75,7984.22,605.95,2.26,0.96,760.4,111,334,476,319369,950,3,12,321,40.00002504941,420.001315097317,2108
"MrPumpkin-11831",99,2.54,4.61,42.3,15.35,15.35,4468.38,4898.65,1.39,7.41,405.44,30,163,163,116178,399,5,3,157,26.0000268553704,286.547947908445,1662
"SlippyGaro-2520",358,2.25,3.19,59.3,19.3,19.3,6270.96,1303.85,1.64,1.84,531.35,20,237,187,169316,521,11,6,232,27.0000127572174,318.652488943258,2388
"vini69696-1987",122,2.06,4.16,44,16.23,16.23,5368.81,5011.81,1.47,7.55,485.54,46,645,488,488562,1477,4,6,717,91.0000540156943,1006.22399802282,2240
"LukairusTTV-1165",379,2.09,5.11,50,16.94,16.94,4304.75,7912.54,1.37,10.63,346.9,117,2090,1208,1170891,4609,4,69,2208,271.999767698473,3375.29835687518,2821
"PanzerCFH-1569",671,2.66,3.25,54.5,24.5,24.5,10112.34,1455.25,2.01,1.99,829.21,294,1110,1515,1243818,3014,41,52,1134,123.000017800034,1500.00361790138,2858
"MaCl-21498",371,2.47,3.97,48.8,19.9,19.9,6602.78,6899.81,1.69,9.75,559.72,314,2969,1594,1947821,5871,152,52,2374,295.000136306223,3479.99178160509,2616
"tchospira-1783",330,2.66,3.1,48.4,22.7,22.7,9295.64,1386.09,1.91,1.95,783.24,242,887,1111,845903,2066,6,25,777,90.9999741814442,1080.0048516419,2546
"Gravy-12405",302,3.08,5.5,52,24.6,24.6,6660.41,2129.5,2.01,2.9,543.93,35,1163,660,652720,2411,2,74,783,97.9999729746367,1200.00735388745,2819
"MajinVeta-1280",2600,2.8,3.74,63.8,23.64,23.64,7911.88,1999.71,1.87,2.64,625.83,118,649,720,632950,1891,4,28,676,79.9999494431159,1011.3768914881,3976
"porkybuttguy-1897",300,3.35,4.88,50,24.11,24.11,8209.63,4118.72,1.98,5.65,675.25,111,960,987,755286,2218,11,19,662,92.0000048723268,1118.52795261014,2494
"Segfault-11507",1285,2.44,5.49,54.4,18.97,18.97,4949.91,9057.42,1.57,12.52,410.37,36,828,435,445492,1707,11,24,701,90.0000202023875,1085.58617832688,3691
"Liime-11512",170,2.61,5.82,63.2,21.16,21.16,6481.53,6614,1.82,9.5,558.75,24,181,161,123149,402,0,2,154,18.9999892000808,220.400894854586,2435
"llllllll-11933",318,2.93,4.88,45.8,25.27,25.27,8306.12,4055.02,2.01,5.36,659.02,81,425,566,398694,1213,10,17,414,48.0000288943574,604.980121999332,4338
"NotMike123-1866",93,3.6,4.99,80,27.04,27.04,8048.48,2096.36,2.82,3.64,838.38,53,277,319,201212,676,0,17,188,25,240.000954221236,2375
"dhk-21595",350,2.2,2.89,42.1,21.34,21.34,7534.27,1670.49,1.78,2.33,629.38,253,1130,1288,1054798,2987,9,18,1358,140.000026545372,1675.93186945883,2849
"Raz-22786",531,2.34,3.29,54.3,22.48,22.48,7896.85,1093.41,1.94,1.57,680.82,161,854,842,726510,2068,2,29,884,91.9999746734457,1067.11024940513,3200
"ZaStriker-1284",389,2.07,3.35,46.2,20.23,20.23,7243.31,3738.62,1.65,5.09,591.17,7,131,83,94163,263,4,5,127,12.9999958582471,159.282439907302,3448
"optimuspipe-11606",333,3.76,5.98,58.7,27.35,27.35,8022.7,2566.65,2.16,3.38,634.59,42,571,532,369044,1258,3,21,335,45.9999750707368,581.547140673506,2906
"Ahrias-2714",470,2.51,3.62,55.6,24.11,24.11,8002.22,2103.93,1.99,2.89,660.62,90,427,630,432120,1302,12,27,518,54.0000149958387,654.112803124338,4008
"Mei-12355",68,2.5,4.15,63.4,20.02,20.02,6412.15,3184.17,1.88,4.99,602.77,150,260,480,262898,821,0,6,328,40.9999766069103,436.149775204473,3485
"InvexeR-1908",1172,2.46,3.57,45.2,19.74,19.74,7173.97,2673.87,1.62,3.66,589.54,135,1946,1571,1492186,4106,31,71,1672,208.00003345428,2531.10221528649,2651
"BugsBunny-11248",334,3.39,4.47,53.5,27.23,27.23,8191.83,429.33,2.17,0.57,652.99,138,1704,1479,1269734,4221,9,95,1245,155.000042725496,1944.49225868696,2943
"Senpai-12839",152,3.72,4.09,37.1,27.2,27.2,0,1431.71,1.98,1.74,0,34,407,300,0,952,2,21,256,NA,NA,2595
"SirValient-1595",888,2.89,3.68,37.1,19.43,19.43,7940.06,3306.43,1.76,4.98,717.26,60,282,328,277902,680,15,10,235,34.9999874056367,387.4494604467,2687
"Daruma-21717",2097,1.87,2.31,38.5,23.12,23.12,8426.12,2263.12,1.91,3.11,695.01,35,173,269,219079,601,7,5,322,25.9999857585698,315.21704723673,3775
"Glitter-1790",1641,2.59,3.4,49.3,22.69,22.69,7805.6,2440.06,1.86,3.33,638.9,249,515,821,522975,1520,3,9,587,66.9999743773701,818.555329472531,3161
"HaroStrile-1606",478,1.96,4.26,53.5,19.98,19.98,6522.88,5165.21,1.6,6.88,521.23,41,440,340,280484,859,3,6,438,43.0000245290424,538.119448228229,2066
"DanDyMan-11599",106,2.94,7.37,50.9,19.66,19.66,5969.42,5566.17,1.76,8.29,533.63,34,490,370,352196,1160,6,29,394,59.0000368545018,660.000374791522,4091
"Loralei-1139",688,2.77,6.23,58.3,19.42,19.42,4334.17,13335.67,1.47,16.82,328.07,4,137,43,52010,233,0,2,84,11.9999907710127,158.533239857348,2340
"SKTUD-1600",259,2.8,3.17,50.7,23.63,23.63,8169.07,84.64,1.99,0.12,689.72,301,632,952,612680,1772,2,8,632,74.9999693967612,888.302499565041,2169
"RSparrow-1587",196,2.38,3.07,58.1,21,21,7376.52,1542.13,2.17,2.66,762.24,79,297,324,228672,651,5,8,273,30.9999837321664,300,1714
"TacoMeneer-2731",239,2.27,3.17,48.8,19.07,19.07,6348.88,2552.94,1.62,3.61,538.02,105,755,574,533306,1602,5,31,707,84.0000126006477,991.238243931452,1968
"Delicate-11178",961,2.32,4.6,48.2,20.96,20.96,5230.35,7399.89,1.72,10.14,429.94,38,1268,597,596260,2390,13,37,1031,114.000019119179,1386.8446760013,2486
"CLM-2552",979,2.39,4.93,54.3,20.99,20.99,6711.07,6504.5,1.75,9.03,559.26,68,607,557,469775,1469,9,19,614,70.0000149007535,839.993920537854,3076
"CoolGuyWang-2799",130,2.44,2.5,45.5,23.9,23.9,10385.47,189.58,2.11,0.28,916.18,344,935,1392,1048932,2414,3,22,991,100.999954744465,1144.89729092536,2516
"Godan-21713",1407,2.65,4.61,51.4,21.94,21.94,6585.13,3896.75,1.74,5.14,521.6,165,2345,1543,1422389,4739,26,61,1788,216.000139708707,2726.97277607362,4027
"Lodi-1605",690,2.54,5.48,46.6,21.67,21.67,4946.11,11944.31,1.75,16.12,400.46,146,1924,1059,944707,4139,2,41,1629,190.999997978209,2359.05458722469,2697
"EricSama-11252",458,2.6,4.2,51.9,20.09,20.09,7458.36,2612.26,1.8,3.9,668.14,589,2266,2537,1924256,5182,28,40,1993,257.999882011595,2880.01915766157,2164
"Kakarot-11811",261,1.71,2.92,40,17.1,17.1,5604.3,3643.2,1.23,4.38,403.96,3,105,65,56043,171,11,5,100,10,138.734033072581,2332
"Remnm-1968",124,3.26,3.39,54.4,26.74,26.74,11876.54,107.33,2.24,0.15,995.53,768,1757,2801,2030889,4573,31,91,1401,171.000055571741,2040.00783502255,2097
"Trenbolone-11739",646,2.48,4.85,53.4,22.89,22.89,7449.41,5726.24,1.89,7.89,615.75,468,3762,3105,2733935,8402,35,129,3387,367.000205385393,4440.00812017864,3970
"SallySal-11357",286,2.51,3.02,58,25.14,25.14,9328.52,601.33,1.94,0.78,721.43,245,1319,1382,1044794,2816,32,37,1121,111.999974272446,1448.22643915557,2520
"SpitFire-22440",607,2.51,2.58,33.9,24.52,24.52,8285.68,368.62,2.13,0.53,719.17,176,398,784,463998,1373,2,14,548,55.9999903447876,645.185422083791,3000
"AfricaMola-1675",34,3.18,3.41,59.6,26.15,26.15,9242.72,749.63,2.52,1.2,890.04,328,1072,1451,961243,2720,0,30,855,104.000012983191,1079.999775291,3016
"Graep-21113",274,1.46,3.21,42.2,15.96,15.96,6621.58,4837.2,1.29,6.52,535.21,34,341,290,297971,718,8,6,491,44.9999848978643,556.736608060387,2547
"TheFuzzyMuzz-1806",172,1.92,2.34,51.6,17.26,17.26,6702.87,302.97,1.78,0.52,692.63,22,236,239,207789,535,0,6,279,31.0000044756947,300,1813
"mljinki-2632",161,2.01,2.54,48,18.62,18.62,6624,1802.01,1.7,2.74,605.16,238,1243,1258,980352,2756,10,28,1370,148,1619.98810232005,1828
"kkrow-2574",477,0.95,6.51,53.3,5.14,5.14,1392.71,10558.27,0.44,15.06,119.15,19,186,109,107239,396,2,3,417,77.0002369481084,900.033571128829,2300
"Raphinho-21552",159,3.42,4.5,51.7,26.65,26.65,7657.21,2150.57,2.15,2.89,616.52,175,1784,1615,1347669,4691,15,60,1373,176.000005223835,2185.92908583663,2771
"Izzy-1578",799,1.86,4.12,52.5,18.56,18.56,5956.57,6972.32,1.48,9.3,476.53,86,914,761,714788,2227,14,42,1198,119.999932847259,1499.98531047363,4220
"Yuma-2128",302,2.36,4.2,76.9,16.54,16.54,0,3766.62,1.79,6.8,0,27,99,120,0,215,2,3,91,NA,NA,1231
"nnukky-11133",540,2.55,23.32,54.5,16.45,16.45,6381.91,5.27,1.63,0.01,632.92,3,91,55,70201,181,7,2,71,10.999998433071,110.916071541427,3000
"lavarball-1745",168,1.99,2.27,47.9,19.98,19.98,7201.42,524.19,2,0.87,720.14,106,350,479,345668,959,2,6,482,47.9999777821596,480.001110895104,2497
"Jackbet-2920",210,2.46,3.28,58.2,19.51,19.51,7762.73,1705.99,1.82,2.65,722.37,78,488,510,520103,1307,7,12,531,67.0000115938594,719.995293270762,2547
"DiEwecstasy-1651",129,2.24,2.99,54.5,20.55,20.55,7333.75,806.17,1.8,1.18,641.69,230,2620,2063,1804103,5056,36,80,2260,246.000068177944,2811.48685502345,2211
"doorknobs-11530",1084,2.29,3.14,48.3,23.27,23.27,8985.57,1891.92,1.82,2.47,704.34,317,1708,2142,1895956,4911,33,80,2148,211.000081241368,2691.81929181929,3846
"EventHorizon-1202",41,2.12,2.61,41.9,22.1,22.1,0,1320.06,1.9,1.89,0,54,319,260,0,685,0,3,323,NA,NA,1917
"Kiwiiva-2364",202,1.7,4.19,42.3,13.12,13.12,3771.46,7270.96,1.15,10.66,331.82,17,161,123,98058,341,2,2,201,26.0000106059722,295.515641010186,2005
"Deveral5-1241",250,3,4.9,54.6,21.76,21.76,7172.67,4352.91,1.99,6.65,657.49,33,358,276,236698,718,2,11,239,32.9999846640094,360.002433497087,2589
"Dakmury-1847",341,2.6,3.91,52.3,21.91,21.91,6203.52,5897.34,1.98,8.87,560.04,55,647,407,403229,1424,3,21,548,65.0000322397606,720.000357117349,2394
"hiphast-2782",197,2.1,3.7,51,17.27,17.27,5700.08,5525.06,1.41,7.52,465.51,54,419,297,279304,846,7,13,403,49.0000140348907,599.995703636871,2167
"Blueone-11852",748,0.47,5.4,57.5,2.93,2.93,750.32,12772.59,0.24,17.55,61.87,23,114,98,70530,275,0,0,591,93.999893378825,1139.97090673994,2353
"Ferret-11192",395,2.64,3.16,58.3,24.67,24.67,9276.83,131.67,1.97,0.18,742.15,10,236,253,222644,592,4,16,224,24.0000086236354,299.998652563498,3230
"sacnagual-1934",527,3.1,4.2,46.3,23.32,23.32,6247.24,3509.73,1.95,4.9,523.44,26,414,299,256137,956,2,19,308,41.00002561131,489.334021091243,2609
