"Battletags","Level","K/D","KDA","Win Pct","Kills/Game","Elim/Game","Damage/Game","Healing/Game","Elim/Min","Healing/Min","Damage/Min","Solo Kills","Obj kills","Final Blows","Damage Done","Elims","Environment Kills","MultiKills","Deaths","Games","GameTimeMin","Rating"
"MeillenIO-2142",387,2.04,4.72,44.9,17.6,17.6,4543.44,8218.06,1.37,10.66,353.57,90,893,509,486148,1883,70,7,925,106.999982392196,1374.96959583675,2848
"Taitter-1105",482,2.1,3.94,47.1,17.86,17.86,4837,4488.67,1.59,6.64,429.35,85,1150,674,575603,2125,10,17,1011,119,1340.63817398393,1306
"Anovelty-1213",668,1.84,5.27,51.9,12.36,12.36,2102.14,11262.52,1.03,15.56,174.3,24,1102,292,323730,1904,4,18,1034,154.000209310512,1857.31497418244,2372
"Punky-21824",1050,3.4,4.7,46.8,24.39,24.39,8056.87,1005.97,2.03,1.39,670.14,67,692,637,620379,1878,3,28,552,77.0000012411768,925.745366639807,3920
"Trippy-21655",115,3.61,5.24,30,24.2,24.2,8188.6,773.8,2.14,1.14,724.01,3,120,65,81886,242,2,3,67,10,113.100647781108,3640
"Klikxx-1132",402,2.01,2.73,48.4,20.16,20.16,7050.34,1652.72,1.68,2.29,585.98,57,628,514,451222,1290,5,19,642,64.0000340409115,770.029693846206,2511
"Gwinvere-1986",1021,2.13,4.9,44.4,14.62,14.62,4435.78,6951.4,1.26,9.98,381.94,44,504,361,319376,1053,3,14,495,71.9999639296809,836.19416662303,2272
"Saad-2888",1421,2.18,2.79,46.3,24.3,24.3,8515.36,995.51,1.92,1.31,671.91,144,506,680,570529,1628,3,27,747,66.9999859078183,849.115208882142,3412
"ArnjJoos-1887",106,2.81,4.94,62.5,19.08,19.08,6737.79,3147.29,2.54,6.99,898.37,54,220,232,161707,458,2,3,163,24.0000059366647,180.000445250843,1645
"KillerKill-2101",469,0.61,3.77,47.2,5.33,5.33,1399.44,10275.08,0.47,15.01,122.67,41,324,263,198720,757,0,3,1234,141.999657005659,1619.95597945708,2184
