Battletags,Level,Rating,K/D,KDA,Win Pct,Kills/Game,Elim/Game,Damage/Game,Healing/Game,Elim/Min,Healing/Min,Damage/Min,Solo Kills,Obj kills,Final Blows,Damage Done,Elims,Environment Kills,MultiKills,Deaths
Ross-22547,"1,370","3,165",2.08,4.04,48.5%,19.03,19.03,"5,347.62","5,643.83",1.52,7.52,427.74,346,"1,694","1,702","1,245,996","4,435",8,31,"2,135"
Stravan-1636,890,"3,094",1.97,4.61,44.1%,19.38,19.38,"5,084.38","5,971.38",1.57,8.06,411.59,35,307,196,"172,869",659,0,15,334
Himmelherz-2311,960,"3,154",2.78,3.83,36.4%,19.67,19.67,"4,556.75","3,013.71",1.59 ,4.07,369.15,28,371,335,"250,621","1,082",5,16,389
RedKnife-21944,131,"3,000",2.71,3.79,50.8%,22.75,22.75,"8,328.06","1,579.03",1.88,2.17,686.77,38,620,469,"524,668","1,433",15,17,529
crow-13627,373,"3,000",2.38,6.05,80.0%,15.50,15.50,"4,807.20","8,955.70",1.41,13.58,437.35,7,65,43,"48,072",155,4,8,65
dragonlord-12369,426,"2,968",2.25,4.33,46.7%,18.73,18.73,"5,240.91","5,619.05",1.56,7.81,437.02,223,876,"1,030","718,005","2,566 ",22,18,"1,140"
SoBa-11294,"1,028","3,092",2.64,3.44,47.1%,23.62,23.62,"8,925.79","1,668.65",1.91,2.25,722.56,36,343,366,"303,477",803 ,47,6,304
Alas-11792,315,"3,092",2.35,2.64, 43.6%,23.38,23.38,"9,182.12",114.68,2.03,0.17,795.78,214,592,984,"716,205","1,824",0,50,777
Beezhu-1581,712,"3,167",2.74,6.42,53.8%,23.15,23.15,"6,321.92","9,615.92",1.68,11.66,459.95,5,164,69,"82,185",301,11,5,110
Hodl-11668,232,0,1.00,16.60,0.0%,0.00,5.00,"1,257.00",209.00,1.01,0.70,253.94,7,4,2,"1,257",5,0 ,9,5
occidere-21399,460,"3,050",2.98,3.39,48.6%,26.54,26.54,"10,650.35","1,044.69",2.16,1.42,866.44,272,957,"1,510","1,139,587","2,840",6,29,952
Burn-11576,456,"3,091",2.39,3.10,50.0%,24.76,24.76,"9,035.85","1,827.65",1.97,2.42,718.79,100,519,593,"487,936","1,337",5,19,560
zER0-22403,189,0,4.30,5.25,63.9%,28.55,28.55,"8,660.93",703.06,2.32,0.95,704.84,120,930," 1,021","718,857","2,370",5,29,551
Base-21389,173,"3,091",2.50,3.03,48.9%,20.97,20.97,"7,747.37",934.65,1.94,1.44,716.32,877,"1,737","2,907","1,805,138","4,886",4,19,"1,957"
WindowBaker-1163,"1,034","3,002",2.41,2.70,39.3%,20.79,20.79,"7,808.25",858.43,1.85,1.28,696.68,76,171,312,"218,631",582,9,5,241
Nomis-11229,394,0,2.46,3.77,46.7%,20.00,20.00,"6,884.47","3,136.40",1.66,4.34,571.93,43,219,277,"206,534",600,3,8,244
llTwllSana-1497,829,"3,090",3.35,4.07,55.6%,25.75,25.75,"8,042.31",821.71,2.06,1.10,643.38,85,851,650,"579,046","1,854",26,36,554
PantBulge-11139,75,"3,089",2.38,3.63,44.0%,21.84,21.84,"7,030.80","2,851.76",2.28,4.95,732.38,57,176,284,"175,770",546,2,9,229
svd-21289,125,0,2.49,3.09,60.0%,25.75,25.75,2.08,"1,240.36","3,131.35","2,514.24",252.97,248,715,"1,060",156,"1,931",2,25,775
Mokka-21147,999,"3,089",0.44,5.48,62.1%,3.14,3.14,"1,004.45","11,595.83",0.30,18.68,97.10,4,35,37,"29,129",91,0,2,208
Tomatopile-2212,575,"2,737",2.61,3.39,47.3%,24.35,24.35 ,"9,118.64","1,374.12",1.96,1.84,733.33,393,"1,515","1,882","1,522,813","4,066",22,40,"1,555"
SupahBambi-1768,"1,672","3,044",2.06,2.46,50.0%,20.93,20.93,"8,082.20","1,069.30",1.83,1.56,707.21,152,482,656,"484,932","1,256",15,13,611
Bonsai-21131,447,"3,088",0.43,4.90,53.9%,3.35,3.35,0.00,"12,369.20",0.28,17.18,0.00,8,91,53,0,218,0,0,512
EFI-1256,536,"3,117",2.50,6.10,55.6%,22.26,22.26,"5,980.59","9,358.07",1.67,11.72,449.36,57,557,349,"322,952","1,202",43,11,480
GENJI-23562,72,"3,087",2.86,3.90,50.0%,24.83,24.83,"8,372.15",628.14,2.10,0.89,708.41,83,610,659,"552,562","1,639",2,37,573
MageIIan-2813,235,"3,119",2.66,3.87,51.0%,22.53,22.53," 7,381.06","2,829.90",1.84,3.85,602.15,38,415,382,"361,672","1,104",5,17,415
Glitter-1790,"1,641","3,161",2.59,3.40,49.3%,22.69,22.69,"7,805.60","2,440.06",1.86,3.33,638.90,249,515,821,"522,975","1,520",3,9,587
MoroAniki-1964,542,0,2.11,3.00,40.0%,22.60,22.60,"7,279.10","2,224.40",1.84,3.01,591.32,10,106,87 ,"72,791",226,9,5,107
Atheos-11852,561,"3,065",3.53,4.82,54.6%,27.08,27.08,"9,373.75","2,107.97",2.23,2.90,772.71,487,"1,738","2,433","1,631,033","4,712",16,63,"1,333"
MeTaLBeAsT-1469,725,"2,854",1.56,2.88,31.0%,14.48,14.48,"4,683.57","4,001.76",1.16,5.35,375.59,12,288,178,"196,710",608,0,9,389
Nimic-1400,824,"3,085",1.97,2.04,48.8%,21.94,21.94,"8,260.72",231.40,1.83,0.32,688.39,874,"1,443","2,660","1,693,447","4,498",32,39,"2,281"
jelle2316-2968,262,0,1.57,2.86,0.0%,0.00,11.00,"3,952.00","1,147.00",1.72,2.99,617.50,3,4,6,"3,952",11,23,34,7
Malthell-2491,589,"3,109",2.85,4.52,50.3%,23.42,23.42,"7,314.68","4,026.14",1.95,5.58,608.21,692,"5,742","5,135","4,059,648","13,000",76,180,"4,566"
Silentcry-2548,851,"3,000",2.86,3.11,70.0%,27.50,27.50,"9,803.90",254.50,2.05,0.32,731.27,30,109,126,"98,039",275,3,4,96
Pixs-11954,594,"3,085",3.69,4.08,59.1% ,31.50,31.50," 11,066.45",58.27,2.89,0.09,"1,014.43",32,257,340,"243,462",693,9,21,188
Kristina-1292,462,"3,084",1.04,5.52,55.5%,7.52,7.52,"1,651.66","11,711.05",0.64,16.51,139.68,15,547,245,"226,278","1,030",0,5,986
Lorian-21128,233,"3,084",2.11,3.73,46.6%,18.67,18.67,"6,380.53","2,902.95",1.63,4.21,555.52,264,"2,834","2,332","2,233,186","6,533",45,110,"3,094"
tuveuxdupain-21568,128,"3,084",2.43,3.44,47.4%,21.94,21.94,"7,596.34","1,945.10",1.83,2.70,633.03,525,"1,947","2,534","1,861,103","5,376",44,67,"2,209"
Hoang23-2154,589,"3,083",1.77,5.47,64.3%,14.34,14.34,"3,660.05","9,860.55",1.22,13.94,310.55,34,334,262,"204,963",803,5,16,453
Jayzek-2250,323,0,2.35,3.77,50.0%,18.83,18.83,"7,478.00",216.00,1.79,0.34,708.82,16,43,65,"44,868",113,4,11,48
TunaMelt-11307,410,"3,080",2.57,5.35,53.5%,21.12,21.12,"5,254.86","12,485.65",1.55,15.31,386.68,19,474,228,"225,959",908,11,14,353
MrGrenko-2235,784,"2,992", 2.58,4.45,49.7%,20.84,20.84,"6,993.55","4,494.87",1.75,6.29,586.96,495,"2,744","2,798","2,321,857","6,920",48,53,"2,683"
BlindluK-2987,"1,286","3,256",2.39,3.94,49.0%,18.08,18.08,"6,156.86","2,783.31",1.52,3.91,518.59,93,"1,475","1,268","1,194,431","3,508",27,55,"1,468"
Phamtastic-11259,"1,189","3,280",1.62,4.93,42.5%,16.00,16.00,"3,738.25","10,971.98",1.20 ,13.73,280.71,11,316,154,"149,530",640,3,7,395
Kiddo-11364,727,"3,344",2.42,3.83,53.4%,19.71,19.71,"6,735.36","4,041.49",1.63,5.57,556.60,144,"1,240","1,145","983,362","2,878",8,41,"1,189"
LilJaredVert-1828,77,"3,022",1.77,3.49,44.9% ,17.78,17.78,"5,124.61","4,733.49",1.49,6.60,428.55,18,464,214,"251,106",871,6,10,492
JulekJulek-1689,818,"3,081",3.04,4.06,53.0%,24.44,24.44,"8,077.01",485.11,2.01,0.66,662.91,78,"1,415","1,067","1,082,320","3,275",34,60,"1,077"
Klepto-11959,"1,082","3,080",2.18,3.48,48.8%,20.30,20.30,"7,106.24","2,644.50",1.70,3.69,595.35,432,"3,178","3,056","2,679,054","7,654",18,132,"3,511"
des-12781,247,0,2.14,3.61,54.5%,19.21,19.21,"7,145.12","3,131.76",1.51,4.11,563.24,52,280,282,"235,789",634,2,6,296
Randomize-2746,347,"3,080",2.95,3.24,56.4%,19.51, 19.51,"6,826.00",810.40,1.99,1.38,695.24,101,345,507,"375,430","1,073",5,20,364
SaiMoen-21293,279,"3,089",4.25,6.38,55.0%,25.90,25.90,"8,724.83",594.85,2.06,0.79,695.56,43,672,575," 523,490","1,554",3,40,366
LoveMEZanji-2890,88,"3,292",3.03,3.77,54.6%,29.33,29.33,"10,103.06","2,274.04",2.24,2.89,770.66,217,996,"1,383","979,997","2,845",9,36,938
Tuto-1410,533,"3,459",1.60,4.41,53.1%,13.28,13.28,"3,602.90","7,783.79",1.08,10.51,291.95,29,594,377,"345,878","1,275",8,9,795
sakuya-11239,977,"3,079",1.84,4.42,42.9%,15.44,15.44,"4,098.98","8,596.32",1.27,11.80,337.56,25,621,308,"344,314","1,297",2,16,706
Lauren-31757,332,"3,078",2.97,4.61,49.0%,21.86,21.86,"6,928.31","2,968.07",1.92,4.34,607.75,95,805,794,"692,831","2,186",4,45,735 
Effie-11659,91,"3,078",2.72,3.32,50.8%,28.63,28.63,"17,425.43","3,580.28",2.13,4.44,"1,297.23",224,788,"1,026","1,167,504","1,918",42,23,704
Sora-23441,103,"2,889",3.01,3.71,49.5%,28.72,28.72,"10,190.26","1,946.29",2.41,2.72 ,855.68,328,985,"1,573","1,029,216","2,901",7,49,963
bobswaget-11842,636,"3,101",2.33,3.25,47.9%,20.21,20.21,"7,151.35","1,754.71",1.70,2.46,601.85, 40,446,390,"343,265",970,10,17,416
bengi-2658,506,"3,076",2.57,3.75,47.4%,22.36,22.36,"7,951.44","2,134.58",1.86,2.96,662.62,45,980,689,"755,387","2,124",15,43,825
RamenRider-11696,"1,020","3,044",2.82,4.44,53.4%,22.34,22.34,"7,319.56","3,364.84",1.88,4.72,616.03,104,"1,119",878,"849,069","2,591",19,32,919
CLM-2552,979,"3,076",2.39,4.93,54.3%,20.99,20.99,"6,711.07","6,504.50",1.75,9.03,559.26,68,607,557,"469,775","1,469",9,19,614
khyr0n-1480,494,0,1.33,4.25,0.0%,0.00,16.00,"5,262.00","12,453.00",1.12,14.58,369.70,47,5,4,"5,262",16,0,16,12
OWAGENT042-2811,97,"3,075",2.26,2.87,57.4%,21.09,21.09 ,"8,338.35",507.37,1.84,0.74,726.93,31,564,678,"567,008","1,434",5,32,634
Zaddy-11500,200,"2,694",2.27,2.91,43.4%,22.84,22.84,"8,696.48","1,684.57",1.85,2.27,704.20,271,706,"1,165","721,808","1,896",10,33,837
RyKy-1960,403,"3,032",2.07,2.92,40.0%,23.00,23.00,"9,732.73","1,991.27",1.92,2.77,812.19,29,128,163,"145,991",345,3,5,167
BMRGould-1357,592,0,2.33,4.79,52.0%,19.83,19.83,"5,444.25","7,992.22",1.56,10.46,427.56,68,996,527,"555,313","2,023",11,18,868
ToadOfWar-1285,470,"3,074",2.57,5.77,52.3%,20.11,20.11,"6,748.34","5,145.60",1.64,6.99,549.86,416,"2,726","2,306","2,078,488","6,194",39,79,"2,409 "
kajaih-2411,702,"3,074",2.54,3.59,49.0%,20.68,20.68,"7,078.97","2,132.38",1.82,3.13,622.69,274,"1,454","1,648","1,345,004","3,930",3,69,"1,547"
AstraL-11410,209,"3,074",3.18,8.52,70.6%,16.82,16.82,"5,049.24","6,040.59",1.46,8.75,438.73,11,113,90,"85,837",286,0,0,90
ItsVivid-1389,340,0,2.84,5.65,51.8%,23.30,23.30,"5,876.70","9,835.73",1.91,13.42,481.22,17,657,269,"329,095","1,305",5,23,460
Warthongs-2496,739,0,2.10,2.91,70.0%,19.70,19.70,"7,572.40","3,724.60",1.66,5.25,639.92,6,88 ,66,"75,724",197,9,7,94
Yolkie-11772,"1,964","3,073",2.06,2.73,41.7%,21.88,21.88,"8,527.04","1,794.54",2.19,2.99,852.70,24,227,251,"204,649",525,57,10,255
Storkar-21447,77,"3,073",2.45,2.77,50.5%,24.13,24.13,"8,343.19",861.07,2.10,1.25,724.54,298,846,"1,250","825,976","2,389",3,28,976
Hikari-12910,158,"2,563",2.62,2.81,23.5%,22.82,22.82,"8,225.65",137.71,1.99,0.20,718.15,42,128,191,"139,836",388,0,35,148
PMA-4513,305,"3,072",2.73,3.09,43.2%,24.05,24.05,"8,467.34",478.98,2.04,0.68,716.47,305,"1,065","1,667","1,117,689","3,175",10,49,"1,162"
Storme0n-1811,908,"3,118",2.25,2.97,47.7%,20.15,20.15,"6,647.89","2,033.43",1.79,3.00,589.00,536,"1,334","1,883","1,322,931","4,010",20,51,"1,779"
JustBacon-21578,429,0,1.57,21.71,0.0%,0.00,11.00,"4,887.00","44,134.00",1.29,86.20,572.70,39,2,219,"4,887",11,0,9,7
charlie-13687,771,0,2.08,8.28,66.7%,25.00,25.00,"9,943.00","19,087.00",2.16,27.42,857.16,11,20,49,"29,829",75,2,11,36
CrankyCat-11970,111,"2,971",1.57,5.15,38.5%,12.46,12.46,"3,629.12","8,110.65",1.08,11.70,314.21,4,145,89,"94,357",324,8,5,206
Alithia-2250,876,"2,810",0.64,5.74,54.5%,5.11,5.11,"1,470.70","12,098.75",0.41,16.15,117.80,48,262,236,"210,310",731,3,8,"1,136"
Inbox-11417,528,"3,071",3.14,3.43,58.1%,26.26,26.26,"9,126.65",423.53,2.21,0.60,769.50,319,695,"1,248","784,892","2,258",13,18,719
nightyz-21151,"1,281","3,070",1.64,2.30,29.8%,16.30,16.30,"6,888.53","2,670.64",1.60,4.36,674.50,57,252,307,"323,761",766,3,8,468
Leon27-21109,397,"3,200",2.18,2.72,50.6%,20.49,20.49,"7,890.92","1,221.39",1.78,1.76,683.54,115,527,709,"607,601","1,578",9,19,724
EternalEvils-2179,"1,045","3,472",2.40,5.14,54.6%,21.38,21.38,"5,441.16","9,559.03",1.69,12.57,429.15,71,"1,366",741,"707,351","2,780",13,28,"1,158"
Supertoast-2955,724,"3,069",2.64,7.08,66.7% ,21.81,21.81,"5,782.86","7,624.53",1.87,10.89,495.67,31,318,273,"208,183",785,9,13,297
Kawaisky-21112,737,"3,069",2.31,2.59,51.4%,23.19,23.19,"7,835.58",618.38,2.20,0.98,743.38,348,522,"1,088","579,833","1,716",7,10,743
Haze-1480,"1,113","3,126",2.90,3.63,53.3%,25.89,25.89,"9,389.80",832.64,2.13,1.14,773.94,409,"1,738","2,249","1,586,877","4,376",22,59,"1,510"
soysauce-3474,361,0,1.92,4.14,48.9%,17.66,17.66,"5,379.83","7,125.87",1.46,9.80,444.05,19,317,259,"252,852",830,2,4,433
Jay-18343,459,"3,068",2.79,3.01,54.9%,24.10,24.10,"9,084.12","1,159.74",2.08,1.67,783.73,546,"2,657","3,241"," 2,398,207","6,362",10,100,"2,281"
MaximumPayne-11784,592,"2,631",2.78,3.46,36.4%,23.16,23.16,"8,980.20",143.55,1.81,0.19,701.99,84,545,584,"493,911","1,274",17,22,459
Deane0-2319,447,"3,068",2.21,2.97,52.5% ,18.63,18.63,"7,828.27","2,066.26",1.65,3.05,692.30,533,"1,206","1,867","1,432,573","3,410",8,35,"1,544"
shooby-1561,745,"3,068",2.21,3.10,44.0%,17.72,17.72,"6,318.20","1,575.21",1.58,2.34,564.13,93,552,518,"473,865","1,329",11,20,602
Pr0g-11301,806,"2,689",2.72,4.10,43.1%,21.57,21.57,"8,736.29","2,865.95",1.82,4.04,738.46,260,959,"1,409","1,074,564","2,653",3,28,974
blitzcake-11642,475,"3,259",2.76,3.70,55.7%,23.95,23.95,"8,176.31","1,291.64",1.95,1.76,666.85,238,"1,637","1,722","1,439,030","4,216",42,61 ,"1,530"
Scott-32135,566,"3,067",3.16,4.80,73.3%,15.60,15.60,"3,932.93","2,236.60",1.95,4.66,491.62,3,103,69,"58,994",234,0,4,74
HAHAHAHA-11139,674,"3,000",2.04,2.60,43.5%,18.32,18.32,"7,925.28","1,003.86",1.62,1.48,700.47,77,500,573,"546,844","1,264",20,22,621
ShadowSora-11184,"1,050","3,067",1.60,5.35,46.9%,12.24,12.24,"2,876.55","10,164.59",0.98,13.50,229.24,91,"2,590","1,223","1,196,643","5,091",8,61,"3,189"
Esper-11890,464,"3,566",2.95,4.24,56.8%,20.30,20.30,"6,359.63","2,250.73",1.74,3.22, 545.26,109,895,977,"839,471","2,679",17,28,908
OJAN-2333,"1,438","3,066",2.43,3.49,50.9%,22.50,22.50,"7,699.42","1,965.70",1.89,2.75,647.45,364,"1,817","2,173","1,709,271","4,994",42,68,"2,055"
Cat-23315,605,0,3.50,5.25,44.4%,26.44,26.44,"6,947.00","3,355.22",2.15,4.54,564.12,6,106,80,"62,523",238,5,2,68
Pacesukas-2903,199,"3,066",2.92,3.26,54.4%,23.59,23.59,"7,639.52",840.35,2.01,1.19,650.77,86,408,525,"351,418","1,085",4,13,372
TimBrady-1631,580,"3,066",3.32,8.09,66.7%,21.94,21.94,"6,338.08","6,775.36",2.19,11.29,633.81,40,360,292,"228,171",790,10,8,238
Garden-12912,287,"3,280",1.77,4.32,51.3%,15.27,15.27,"4,495.80","4,982.54",1.27,6.92,374.85,39,"1,141",645,"710,337","2,412",5,17,"1,362"
Eldir-2339,496,0,1.36,4.50,0.0%,0.00,19.00,"9,893.00","18,747.00",1.54,25.30,801.05,177 ,3,9,"9,893",19,0,30,14
HAWKz-21978,107,"3,063",2.68,3.36,56.3%,23.60,23.60,"9,091.40",622.37,1.90,0.84,732.78,78,811,944,"790,952","2,053",7,40,765
Player-114515,123,"3,064",2.50,3.60,61.1%,22.11,22.11,"7,561.17","2,799.11",2.21,4.67,756.12,22,180,163,"136,101",398,4,9,159
Sasukenani-1709,927,"3,106",1.84,6.45,48.7%,12.66,12.66,"2,877.33","13,293.14",1.08,18.96,246.29,13,460,200,"218,677",962,5,20,522
Ooka-11118,731,"3,449",3.23,4.09,55.6%,25.51,25.51,"9,227.96","1,178.12",2.10,1.62,759.97,262,"1,098","1,314","996,620","2,755",20,37,853
Niro-11884,601,"3,095",2.14,6.16,51.7%,19.88,19.88,"5,026.26","10,643.22",1.55,13.80,391.00,37,605,319,"291,523","1,153",4,14,538
asparagus-1588,846,"3,063",1.99,4.09,52.1%,19.87,19.87,"7,316.69","3,346.87",1.71,4.81,630.93,86,"1,020",888,"870,686","2,365",28,45,"1,191"
ShaDowStorm-166943,935,"3,063",4.04,6.01,84.6%,34.46,34.46,"10,915.54","2,121.23",3.73,3.83,"1,182.52",27,177,183,"141,902",448,2,10,111
stiffed-11150,222,0,2.75,3.71,48.8%,20.77,20.77,"7,683.26","2,427.14",1.81,3.52,668.06,111,323,431,"330,380",893,8,5,325
Booster-21947,139,0,1.47,1.84,0.0%,0.00,28.00,"7,829.00","2,403.00",1.74,2.49,485.77, 4,15,16,"7,829",28,0,67,19
Keegan-11748,896,"3,344",1.31,5.21,53.0%,10.64,10.64,"2,810.47","10,479.93",0.91,14.96,240.78,37,515,257,"281,047","1,064",23,13,813
Nillowe-11855,738,"3,062",2.57,3.08,50.4%,23.92,23.92,"8,923.98",377.52,1.84,0.48,686.91,234,"4,198","3,525 ","3,132,318","8,395",62,155,"3,271"
NuttyDough-1898,334,"3,483",2.40,2.93,47.1%,21.49,21.49,"7,950.09",777.74,1.76,1.06, 652.97,80,601,634,"540,606","1,461",6,10,608
Rush-21168,121,"3,061",3.18,6.72, 69.2%,19.35,19.35," 5,456.42","6,012.50",2.10,10.86,591.11,25,216,188,"141,867",503,7,10,158
Crawford-21460,445,"3,061",2.45,4.18,56.7%,22.05,22.05,"7,677.65","4,126.62",1.90,5.92,660.74,166,363,612,"460,659","1,323",2,8,541
Rush-21168,121,"3,061",3.18,6.72,69.2%,19.35,19.35,"5,456.42","6,012.50",2.10,10.86,591.11,25,216,188,"141,867",503,7,10,158
Eviltribal-1371,670,"3,000",3.09,5.32,68.0%,25.32,25.32,"6,387.80","8,621.00",2.04,11.57,514.23,15,304,177,"159,695",633,2,8,205
OpZeSMR-1813,92,"2,879",2.74,3.15,56.3%,21.38,21.38,"6,802.34",818.22,2.18,1.39,693.67,36,252,288,"217,675",684,7,7,250
kuz-11321,321,"2,970",2.50,2.98,44.8%,20.93,20.93,"7,358.76","1,184.72",1.79,1.69,629.85,73,245,307,"213,404",607,9,11,243
Brettbms-1794,901,"2,511",1.93 ,5.05,52.5%,15.72,15.72,"4,205.96","8,215.44",1.33,11.58,355.79,75,"1,831",973,"937,929","3,505",10,53,"1,818"
Jaredharper-1787,546,"2,655",3.33,5.66,55.0%,22.80,22.80,"6,201.45","7,883.65",2.19,12.59,594.39,14,227,118,"124,029",456,3,5 ,137
Seeque-1608,235,"3,060",2.63,6.48,77.3%,21.16,21.16,"6,007.86","5,717.66",1.94,8.74,550.72,40,384,361,"264,346",931,5,20,354
Savanti-11640,508,"3,059",1.50,3.75,45.7%,14.89,14.89,"4,314.52","6,250.56",1.30,9.07,375.52,30,573,394,"405,565","1,400",8,23,931
Bunnaz-1367,598,0,2.31,28.81,100.0%,37.00,37.00,"14,301.00","2,769.00",2.33,2.91,901.32,4,14,21,"14,301",37,6,71,16
Sethanon-21188,41,"3,000 ",2.47,4.43,60.0%,21.50,21.50,"5,426.30","6,309.20",1.69,8.25,425.54,7,101,59,"54,263",215,2,3,87
AnuBius-21699,781,"2,924",1.77,4.69,39.1%,15.04,15.04,"3,567.78","9,937.35",1.26,13.91,299.69,19,167,96,"82,059",346,4,6,195
Dr4g0n-11663,493,"3,058", 2.35,3.37,47.8%,18.57,18.57,"6,085.13","2,107.30",1.71,3.23,559.09,16,184,173,"139,958",427,4,8,182
Mechr0mancer-1980,512,"2,954",2.71,3.84,49.6%,23.77,23.77,"8,724.37","2,699.88",1.96,3.71,718.68,238,"1,355","1,589","1,212,688","3,304", 5,38,"1,217"
BilboWizard-1398,439,"3,272",3.44,3.80,57.6%,24.88,24.88," 7,807.03",738.48,2.22,1.10,698.19,45,289,360,"257,632",821,10,15,239
Edimmu-1601,339,"3,058",1.79,3.23,62.1%,16.07,16.07,"4,693.38","3,841.21",1.55,6.19,453.69,43,173,188,"136,108",466,0,4,260
MRMOOO-11458,295,"3,057",2.13,3.44,54.9%,18.55,18.55,"6,522.14","2,522.28",1.69,3.83,593.68,58,598,547,"463,072","1,317",2,9,618
cautioN-1340,979,"3,116",2.42,2.70,48.8%,25.42,25.42,"8,956.83",602.71,2.11,0.83,743.20,370,657,"1,261","770,287","2,186",29,16,903
OneTrickTorb-2909,114,0,2.39,2.62,51.9%,25.96,25.96,"11,207.45",479.55,2.17,0.67,937.71,520,"3,964","3,872","4,146,758","9,604",0,150,"4,026"
Fadert-11601,642,"3,057",2.73,3.17,51.6%,26.58,26.58,"23,225.52","1,688.12",2.36,2.50,"2,064.49",181,601,938,"1,486,433","1,701",8,19,622
Watata-11112,"1,039","3,300",2.96,4.18,57.8%,26.42,26.42,"9,891.49","3,764.63",2.10,4.99,787.00,142,909,"1,401","1,008,932","2,695",21,43,912
JeanPaul-1123,89,"3,056",1.66,1.78,51.5%,16.99,16.99,"5,390.66",35.15,1.60,0.06,509.12,120,452,602,"366,565","1,155",4,17,696
roieperez-2459,224,"3,231",2.73,3.36,51.4%,25.34,25.34,"8,225.22",909.38,2.12,1.27,687.92,974,"2,264","4,121","2,368,863","7,297",33,94,"2,670"
NovaFake-1406,214,"3,176",3.33,3.92,72.7%,27.27,27.27,"9,968.36",265.82,2.23,0.36,815.86,15,132,143,"109,652",300,3,5,90
SirDankNam-1213,763,"3,013",2.68,4.27,51.2%,19.51,19.51,"5,743.32","4,507.44",1.61,6.20,473.75,28,324,292,"235,476",800,2,16,299
Hazard-31264,671,"3,434",2.87,3.82,58.0%,22.59,22.59,"7,817.64","1,620.11",1.92,2.29,663.59,312,"1,218","1,507","1,078,835","3,118",8,43,"1,088"
Niztt-1300,261,"3,146",3.80,5.91,55.2%,27.52,27.52,"8,475.24",85.45,2.29,0.12,705.12,12,392,200,"245,782",798,3,14,210
Setery-1679,616,0,1.93,5.40,57.1%,15.71,15.71,"4,155.86","9,288.71",1.24,12.26,329.21,3,54,28,"29,091",110,14,7,57
Pibs-21321,572,0,2.66,4.45,53.8%,23.95,23.95,"7,497.19","2,473.41",2.00,3.44,625.01,70,859,808,"682,244","2,179",10,44,819
Volle-21519,849,0,4.80,14.50,50.0%,24.00,24.00,"5,199.00","8,755.00",1.93,11.70,417.03,60,16 ,22,"10,398",48,7,18,10
skulk-21350,281,"3,203",2.43,4.08,50.6%,21.44,21.44,"6,844.59","6,410.36",1.78,8.85,567.26,232,"2,282","2,138","1,786,438","5,597",27,65,"2,303"
ClintEasnoob-2119,"1,259","3,004",2.73,3.93,52.0%,23.22,23.22,"8,390.24","2,691.26",1.93, 3.72,695.47,129,"1,022",940,"822,244","2,276",15,35,834
Michaevelli-1246,"1,118","3,053",2.00,3.10,46.0%,19.70,19.70,"6,543.26","2,147.46",1.68,3.05,558.10,55,671,585,"569,264","1,714",12,25,859
Relyst-11647,745,"2,962",3.39,5.38,48.0%,23.44,23.44,"7,340.68","2,684.96",2.08,3.97,651.08,37,258,217,"183,517",586,2,12,173
VapeNation-2271,299,"2,958",3.95,4.41,50.0%,28.28,28.28,"11,551.94",797.11,2.38,1.12,973.93,66,153,300,"207,935",509,16,3,129
YIN-11170,604,"3,052",3.45,4.29,58.7%,31.09,31.09,"10,387.85",854.74,2.65,1.21,884.89,103,558,715,"477,841","1,430",4,26,414
stinkyhat-11803,630,"2,838",1.17,3.47,9.5%,8.00,8.00,"1,950.33","4,313.86",0.93,8.38,227.33,10,91,37," 40,957",168,0,2,143
JorishehexD-2179,503,"3,164",2.26,2.72,54.5%,22.90,22.90,"7,642.79","1,131.17",1.96,1.61,652.84,218,670,927,"588,495","1,763",16,21,779
Ghettohambur-1659,327,"3,051",3.09,4.00,56.8%,22.27,22.27,"6,118.28","2,292.80",1.96,3.37,538.99,102,602,651,"452,753","1,648",5,18,534
EFFECT-21675,18,"3,051",3.19,3.24,57.7%,32.62,32.62,"12,157.11",242.89,2.89,0.36,"1,076.41",446,869,"1,726","1,033,354","2,773",3,38,870
Hohenheim-11458,135,"3,050",2.40,3.41,47.8%,21.75,21.75,"7,290.86","2,086.53",1.85,2.96,621.07,256,741,972,"670,759","2,001",2,28,834
Phife-21868,437,"3,033",1.54,2.58,57.9%,18.11,18.11,"6,717.47","2,702.79",1.35,3.36,500.98,12,146,124,"127,632",344,2,3,224
Redhaven-2627,189,0,2.39,3.94,55.7%,20.47,20.47,"7,860.82","2,672.57",1.75,3.80,670.37,93,"1,107","1,055","959,020","2,497",5,50,"1,044"
WarlockAI-2225,521,"2,588",2.41,3.86,46.8%,19.94,19.94,"7,412.73","2,987.50",1.67,4.18,622.38,84,"1,005",814,"807,988 ","2,173",39,37,901
AUGUSTOFAVI-1275,377,"2,756",2.12,2.32,47.2%,21.73,21.73," 8,739.24",316.90,1.88,0.46,755.85,173,679,"1,057","777,792","1,934",16,35,913
Luna-24425,69,"3,049",3.14,3.34,49.1%,25.48,25.48,"8,472.14",450.19,2.41,0.71,802.62,415,749,"1,563","914,991","2,752",0,35,876
mewnfare-11709,159,"3,049",2.88,3.37,53.6%,24.38,24.38,"9,908.44",837.89,2.07,1.18,840.06,777,"3,477","4,276","3,477,864","8,556",30,168,"2,975"
BlacKPantheR-12333,884,"3,048",3.31,3.68,56.0%,32.92,32.92,"10,780.24","1,036.56",2.74,1.44,898.35,66,320,388,"269,506",823,0,14,249
